MasterID,date,mean.svl,bci,next.bci
705,11/23/2014,48.8,-0.322368051,-0.20056712
647,11/23/2014,48.4,-0.489346592,0.203519147
594,11/23/2014,47.9,-0.344368134,0.07813864
310,11/23/2014,67.8,0.044338589,-0.133295648
890,11/23/2014,50.5,-0.279839486,-0.273304803
682,11/23/2014,53.3,0.267023824,-0.300680369
710,11/23/2014,44.1,-0.148440464,-0.148580983
671,11/23/2014,45.6,-0.006274694,0.311266124
711,11/23/2014,58.2,-0.192671802,-0.100153902
603,11/23/2014,48.8,-0.736343848,-0.228131165
713,11/23/2014,49.1,-0.3767733,0.259516779
714,11/23/2014,49.3,-0.203821045,-0.02606575
661,11/23/2014,49.4,-0.402661711,-0.314993205
717,11/24/2014,59.25,-0.13586135,0.138805355
719,11/24/2014,48,-0.279257023,-0.189153586
720,11/24/2014,52.2,-0.379681263,-0.377634698
606,11/26/2014,48.6,-0.171028487,-0.450761319
722,11/26/2014,40.6,-0.648468269,-0.682450024
345,11/26/2014,65.7,0.105037769,-0.181332286
860,11/26/2014,40,0.458908964,0.162421798
311,11/27/2014,56.9,0.016428307,0.309823085
714,12/1/2014,44.1,-0.02606575,-0.043532594
145,12/1/2014,66.6,-0.353499925,-0.249785872
315,12/6/2014,64.8,-0.210191049,0.297621568
725,12/6/2014,47.9,-0.332391943,-0.338782379
710,12/6/2014,43.2,-0.148580983,0.113800653
660,12/7/2014,51.1,-0.168185451,0.36512386
687,12/7/2014,57.7,-0.4060634,0.049047351
349,12/13/2014,67,-0.106957394,-0.199526727
172,12/20/2014,56.1,0.003047099,0.043442956
618,12/20/2014,49.6,0.313329788,0.401328434
308,12/20/2014,67.7,-0.313179125,0.579436584
40,12/20/2014,69.1,-0.344708736,-0.17720392
681,12/20/2014,52.8,-0.269803427,-0.025907068
353,12/20/2014,67.3,-0.473534036,-0.069578079
107,12/21/2014,63.5,-0.273658498,-0.456548331
654,12/22/2014,47.4,-0.159933108,-0.110024683
682,12/22/2014,60.3,-0.300680369,-0.092169257
628,12/22/2014,44.2,0.124147942,-0.150293106
732,12/23/2014,46.3,-0.188444653,-0.185089995
